iter	RMSE
0	79505.23623
1	79182.05351
2	78890.81107
3	78621.24673
4	78350.58485
5	78098.29064
6	77865.85362
7	77640.38195
8	77440.23297
9	77248.02228
10	77073.28325
11	76905.27893
12	76750.35065
13	76591.7278
14	76456.01482
15	76323.38039
16	76200.91864
17	76092.27658
18	75985.80757
19	75887.14312
20	75796.14611
21	75698.29312
22	75601.57679
23	75519.57144
24	75440.90289
25	75371.1148
26	75295.88529
27	75230.2178
28	75158.38992
29	75100.82547
30	75047.80335
31	74992.17923
32	74943.96731
33	74898.93124
34	74852.05311
35	74803.7231
36	74755.72366
37	74712.844
38	74665.15156
39	74624.39526
40	74589.39656
41	74548.59044
42	74521.22985
43	74485.6844
44	74453.78774
45	74427.13596
46	74401.01679
47	74372.03847
48	74339.7146
49	74316.33996
50	74292.42226
51	74269.29699
52	74252.28231
53	74232.20269
54	74213.23415
55	74186.29079
56	74167.59425
57	74147.16652
58	74129.30053
59	74107.45033
60	74088.75156
61	74067.62152
62	74042.12972
63	74021.37641
64	73991.62401
65	73975.44548
66	73960.18996
67	73942.74916
68	73928.42396
69	73907.16336
70	73897.60096
71	73883.86406
72	73868.08776
73	73853.13793
74	73829.00571
75	73812.41394
76	73797.41581
77	73781.68474
78	73770.55441
79	73759.56576
80	73744.93223
81	73734.54896
82	73723.6961
83	73707.69903
84	73693.35438
85	73679.74754
86	73666.32885
87	73655.61532
88	73642.69912
89	73629.65935
90	73614.37133
91	73601.93796
92	73584.59557
93	73569.6447
94	73560.55478
95	73551.92361
96	73537.76467
97	73529.57825
98	73518.31284
99	73506.5614
100	73490.75017
101	73484.09678
102	73470.14299
103	73458.7805
104	73439.14809
105	73429.549
106	73424.2511
107	73414.75478
108	73393.19271
109	73379.44497
110	73365.11735
111	73352.09339
112	73340.33385
113	73331.7136
114	73321.25129
115	73310.79317
116	73300.66506
117	73290.55339
118	73276.13691
119	73265.86872
120	73255.99248
121	73248.66146
122	73228.39191
123	73218.48394
124	73206.04368
125	73194.5596
126	73182.5596
127	73171.17539
128	73157.99142
129	73146.30374
130	73137.49122
131	73128.10683
132	73110.17982
133	73103.93716
134	73097.18878
135	73089.31637
136	73077.25045
137	73062.48638
138	73053.10845
139	73034.90106
140	73025.49672
141	73015.24316
142	73009.45114
143	73002.44371
