iter	Passed	Remaining
0	159	59314
1	167	31082
2	175	21662
3	183	16970
4	191	14132
5	199	12231
6	207	10882
7	215	9865
8	224	9094
9	231	8442
10	240	7925
11	247	7478
12	255	7104
13	263	6779
14	271	6499
15	280	6270
16	288	6049
17	296	5857
18	303	5679
19	312	5530
20	319	5378
21	327	5239
22	335	5122
23	343	5004
24	350	4896
25	358	4795
26	366	4706
27	374	4626
28	382	4545
29	389	4467
30	397	4392
31	404	4321
32	411	4254
33	419	4191
34	426	4128
35	433	4068
36	440	4014
37	447	3960
38	455	3915
39	463	3873
40	472	3838
41	481	3802
42	489	3766
43	497	3730
44	505	3695
45	513	3663
46	522	3632
47	530	3599
48	538	3572
49	547	3544
50	554	3513
51	563	3488
52	571	3460
53	579	3432
54	589	3416
55	597	3392
56	605	3367
57	614	3346
58	621	3316
59	628	3290
60	636	3265
61	643	3239
62	651	3213
63	658	3188
64	665	3165
65	672	3139
66	679	3114
67	686	3090
68	693	3066
69	701	3044
70	708	3022
71	715	3000
72	722	2977
73	730	2960
74	737	2939
75	744	2920
76	751	2899
77	758	2880
78	766	2860
79	773	2841
80	780	2821
81	786	2802
82	793	2782
83	800	2764
84	807	2746
85	815	2730
86	822	2714
87	829	2696
88	836	2679
89	843	2662
90	850	2645
91	857	2628
92	864	2613
93	871	2596
94	878	2579
95	885	2563
96	892	2548
97	899	2534
98	906	2518
99	913	2504
100	920	2488
101	928	2475
102	935	2461
103	941	2445
104	949	2431
105	956	2417
106	963	2403
107	971	2391
108	979	2380
109	986	2367
110	994	2357
111	1002	2344
112	1009	2332
113	1017	2320
114	1024	2307
115	1032	2296
116	1039	2282
117	1045	2269
118	1053	2256
119	1060	2244
120	1067	2232
121	1074	2219
122	1081	2207
123	1088	2194
124	1095	2181
125	1102	2170
126	1109	2158
127	1116	2146
128	1123	2133
129	1130	2121
130	1138	2111
131	1146	2102
132	1154	2092
133	1163	2083
134	1171	2073
135	1180	2065
136	1189	2057
137	1197	2048
138	1206	2039
139	1217	2034
140	1226	2026
141	1234	2017
142	1244	2010
143	1253	2002
144	1264	1996
145	1274	1989
146	1282	1980
147	1289	1969
148	1297	1959
149	1304	1947
150	1311	1937
151	1319	1927
152	1326	1916
153	1334	1906
154	1341	1895
155	1349	1885
156	1357	1875
157	1365	1866
158	1372	1856
159	1379	1845
160	1387	1835
161	1394	1824
162	1401	1814
163	1408	1803
164	1415	1793
165	1423	1783
166	1431	1774
167	1438	1764
168	1443	1750
169	1450	1740
170	1458	1730
171	1465	1720
172	1472	1710
173	1476	1697
174	1484	1687
175	1492	1678
176	1499	1668
177	1506	1658
178	1513	1648
179	1520	1638
180	1527	1628
181	1534	1618
182	1541	1609
183	1548	1599
184	1556	1589
185	1562	1579
186	1569	1569
187	1576	1559
188	1583	1549
189	1589	1539
190	1596	1529
191	1603	1520
192	1610	1510
193	1617	1500
194	1626	1492
195	1633	1483
196	1640	1473
197	1646	1463
198	1653	1454
199	1660	1444
200	1667	1435
201	1674	1425
202	1679	1414
203	1685	1404
204	1692	1395
205	1699	1386
206	1706	1377
207	1713	1367
208	1720	1358
209	1727	1349
210	1735	1340
211	1743	1332
212	1750	1323
213	1758	1314
214	1766	1306
215	1772	1296
216	1780	1288
217	1787	1278
218	1794	1269
219	1800	1260
220	1805	1249
221	1812	1240
222	1818	1231
223	1826	1223
224	1833	1214
225	1841	1205
226	1848	1196
227	1855	1187
228	1862	1179
229	1869	1170
230	1876	1161
231	1882	1152
232	1890	1143
233	1896	1134
234	1903	1125
235	1909	1116
236	1916	1107
237	1923	1099
238	1929	1090
239	1936	1081
240	1943	1072
241	1949	1063
242	1956	1054
243	1963	1046
244	1970	1037
245	1977	1028
246	1983	1020
247	1990	1011
248	1997	1002
249	2003	993
250	2010	985
251	2017	976
252	2025	968
253	2031	959
254	2038	951
255	2045	942
256	2052	934
257	2059	926
258	2066	917
259	2072	908
260	2078	899
261	2084	890
262	2090	882
263	2098	874
264	2105	866
265	2113	857
266	2119	849
267	2125	840
268	2132	832
269	2139	824
270	2146	815
271	2153	807
272	2160	799
273	2165	790
274	2173	782
275	2180	774
276	2187	765
277	2194	757
278	2201	749
279	2209	741
280	2215	733
281	2222	725
282	2229	716
283	2237	708
284	2243	700
285	2250	692
286	2257	684
287	2264	676
288	2271	668
289	2278	660
290	2285	652
291	2293	644
292	2300	636
293	2308	628
294	2315	620
295	2323	612
296	2331	604
297	2339	596
298	2346	588
299	2354	580
300	2362	572
301	2369	564
302	2376	556
303	2384	548
304	2391	540
305	2398	532
306	2405	524
307	2412	516
308	2418	508
309	2426	500
310	2433	493
311	2440	485
312	2447	476
313	2454	468
314	2462	461
315	2469	453
316	2476	445
317	2484	437
318	2488	429
319	2495	421
320	2502	413
321	2510	405
322	2517	397
323	2525	389
324	2532	381
325	2540	373
326	2547	366
327	2554	358
328	2561	350
329	2568	342
330	2576	334
331	2583	326
332	2591	319
333	2599	311
334	2605	303
335	2612	295
336	2618	287
337	2625	279
338	2630	271
339	2638	263
340	2644	255
341	2651	248
342	2658	240
343	2665	232
344	2672	224
345	2678	216
346	2685	208
347	2693	201
348	2699	193
349	2706	185
350	2713	177
351	2721	170
352	2727	162
353	2734	154
354	2742	146
355	2749	138
356	2755	131
357	2761	123
358	2768	115
359	2775	107
360	2781	100
361	2788	92
362	2795	84
363	2801	76
364	2809	69
365	2815	61
366	2822	53
367	2828	46
368	2835	38
369	2842	30
370	2849	23
371	2856	15
372	2863	7
373	2870	0
