iter	RMSE
0	78463.37358
1	78137.0068
2	77829.513
3	77540.67127
4	77269.54761
5	77011.81579
6	76777.95841
7	76562.00501
8	76351.32142
9	76156.98128
10	75976.0289
11	75805.46958
12	75638.15867
13	75479.48764
14	75341.91336
15	75198.55971
16	75076.59432
17	74957.6515
18	74844.11827
19	74738.76105
20	74632.45513
21	74539.28543
22	74453.21434
23	74370.85894
24	74292.54448
25	74220.58096
26	74154.11159
27	74093.24789
28	74037.26223
29	73967.98739
30	73913.41273
31	73852.99619
32	73794.88596
33	73748.74939
34	73703.41103
35	73658.77758
36	73617.59577
37	73573.09419
38	73536.8573
39	73496.7523
40	73460.01772
41	73425.31151
42	73388.07706
43	73356.67661
44	73320.52363
45	73292.70467
46	73265.76306
47	73236.02464
48	73208.47957
49	73175.18149
50	73146.67996
51	73126.11481
52	73102.6108
53	73078.85667
54	73057.82588
55	73038.29618
56	73023.16786
57	73003.35793
58	72980.54996
59	72958.3668
60	72936.82429
61	72921.19125
62	72907.56549
63	72891.03116
64	72866.47501
65	72849.46495
66	72830.80601
67	72807.03684
68	72792.90052
69	72776.65828
70	72759.33803
71	72745.52963
72	72733.39861
73	72718.74774
74	72704.38278
75	72683.85133
76	72673.73869
77	72656.16514
78	72642.34383
79	72632.58078
80	72622.43423
81	72610.67618
82	72597.27925
83	72579.34459
84	72566.87606
85	72552.59148
86	72544.46659
87	72534.21137
88	72524.64704
89	72511.37096
90	72501.90622
91	72490.63466
92	72473.05618
93	72459.30598
94	72450.19457
95	72439.45252
96	72426.75536
97	72409.30382
98	72401.20233
99	72382.00148
100	72372.15731
101	72359.64628
102	72348.49471
103	72339.93989
104	72325.44693
105	72311.08043
106	72303.78554
107	72293.46069
108	72281.29213
109	72267.8762
110	72258.58198
111	72246.38604
112	72230.03923
113	72221.42356
114	72212.7635
115	72199.16549
116	72193.38687
117	72185.13428
118	72180.38543
119	72176.21605
120	72170.60921
121	72156.52306
122	72150.32387
123	72138.67511
124	72128.61661
