iter	Passed	Remaining
0	10	3737
1	18	3510
2	27	3458
3	36	3362
4	44	3293
5	53	3255
6	61	3237
7	69	3199
8	78	3175
9	86	3134
10	93	3101
11	102	3092
12	110	3055
13	118	3042
14	126	3025
15	133	2994
16	141	2976
17	149	2951
18	156	2925
19	164	2913
20	172	2903
21	183	2937
22	191	2920
23	199	2905
24	207	2892
25	215	2882
26	223	2871
27	231	2858
28	239	2843
29	246	2821
30	253	2800
31	261	2790
32	269	2781
33	277	2771
34	285	2761
35	292	2747
36	300	2734
37	307	2721
38	315	2710
39	323	2704
40	331	2690
41	339	2686
42	347	2675
43	354	2661
44	362	2650
45	370	2638
46	377	2625
47	385	2619
48	394	2616
49	401	2604
50	409	2594
51	417	2583
52	424	2573
53	433	2566
54	441	2558
55	448	2549
56	457	2544
57	465	2535
58	473	2526
59	482	2523
60	491	2523
61	499	2515
62	507	2505
63	515	2496
64	523	2487
65	532	2485
66	540	2477
67	548	2466
68	555	2455
69	563	2446
70	571	2438
71	579	2429
72	587	2422
73	595	2413
74	602	2403
75	611	2396
76	619	2388
77	626	2378
78	634	2369
79	642	2359
80	649	2350
81	658	2343
82	665	2334
83	673	2326
84	681	2318
85	690	2311
86	698	2304
87	706	2296
88	714	2287
89	723	2282
90	731	2274
91	738	2263
92	746	2255
93	755	2249
94	762	2239
95	770	2230
96	778	2222
97	787	2217
98	795	2208
99	802	2198
100	809	2188
101	817	2180
102	824	2170
103	832	2161
104	839	2151
105	846	2140
106	854	2131
107	862	2125
108	869	2115
109	877	2106
110	891	2111
111	898	2102
112	907	2095
113	914	2085
114	922	2076
115	930	2068
116	937	2059
117	945	2050
118	952	2041
119	960	2032
120	968	2024
121	976	2017
122	994	2028
123	1011	2038
124	1023	2039
125	1043	2052
126	1055	2052
127	1064	2046
128	1072	2037
129	1081	2029
130	1107	2053
131	1114	2043
132	1121	2033
133	1129	2023
134	1136	2012
135	1143	2000
136	1150	1991
137	1158	1981
138	1166	1972
139	1173	1961
140	1181	1951
141	1189	1942
142	1196	1933
143	1204	1923
144	1212	1914
145	1220	1905
146	1227	1895
147	1235	1886
148	1242	1876
149	1250	1867
150	1257	1857
151	1265	1848
152	1272	1838
153	1280	1829
154	1287	1819
155	1294	1809
156	1302	1800
157	1310	1790
158	1318	1782
159	1326	1774
160	1334	1765
161	1342	1757
162	1350	1747
163	1358	1739
164	1366	1730
165	1374	1722
166	1382	1713
167	1389	1703
168	1396	1694
169	1404	1684
170	1411	1675
171	1419	1666
172	1426	1657
173	1433	1647
174	1441	1639
175	1448	1629
176	1456	1620
177	1463	1611
178	1469	1600
179	1476	1591
180	1484	1583
181	1492	1574
182	1499	1565
183	1507	1556
184	1514	1547
185	1522	1538
186	1529	1529
187	1537	1520
188	1544	1511
189	1552	1503
190	1559	1494
191	1566	1484
192	1573	1475
193	1581	1466
194	1588	1457
195	1597	1450
196	1606	1443
197	1614	1434
198	1623	1427
199	1631	1419
200	1639	1411
201	1649	1404
202	1658	1396
203	1665	1388
204	1673	1379
205	1682	1371
206	1689	1363
207	1698	1355
208	1706	1346
209	1714	1339
210	1723	1331
211	1730	1322
212	1738	1313
213	1746	1305
214	1754	1297
215	1761	1288
216	1769	1280
217	1777	1272
218	1785	1263
219	1793	1255
220	1801	1246
221	1808	1238
222	1816	1229
223	1823	1221
224	1831	1212
225	1839	1204
226	1847	1196
227	1855	1187
228	1863	1179
229	1870	1171
230	1878	1162
231	1886	1154
232	1894	1146
233	1902	1138
234	1910	1129
235	1918	1121
236	1925	1113
237	1933	1105
238	1939	1095
239	1947	1087
240	1955	1079
241	1962	1070
242	1970	1062
243	1977	1053
244	1985	1045
245	1993	1037
246	2000	1028
247	2007	1020
248	2015	1011
249	2023	1003
250	2031	995
251	2039	987
252	2047	979
253	2054	970
254	2061	961
255	2068	953
256	2075	944
257	2082	936
258	2090	928
259	2097	919
260	2104	911
261	2112	903
262	2119	894
263	2126	885
264	2133	877
265	2142	869
266	2150	862
267	2158	853
268	2165	845
269	2173	837
270	2180	828
271	2188	820
272	2196	812
273	2204	804
274	2211	796
275	2219	788
276	2226	779
277	2234	771
278	2242	763
279	2250	755
280	2257	747
281	2264	738
282	2271	730
283	2278	722
284	2285	713
285	2293	705
286	2301	697
287	2308	689
288	2316	681
289	2323	672
290	2331	664
291	2338	656
292	2346	648
293	2354	640
294	2362	632
295	2369	624
296	2376	616
297	2384	608
298	2391	599
299	2398	591
300	2405	583
301	2413	575
302	2420	567
303	2427	559
304	2435	550
305	2442	542
306	2450	534
307	2457	526
308	2465	518
309	2472	510
310	2479	502
311	2487	494
312	2492	485
313	2499	477
314	2507	469
315	2514	461
316	2522	453
317	2530	445
318	2537	437
319	2544	429
320	2551	421
321	2560	413
322	2567	405
323	2572	397
324	2580	389
325	2588	381
326	2595	373
327	2603	365
328	2610	357
329	2618	349
330	2623	340
331	2631	332
332	2639	325
333	2647	317
334	2654	309
335	2662	301
336	2669	293
337	2676	285
338	2684	277
339	2692	269
340	2700	261
341	2707	253
342	2714	245
343	2721	237
344	2726	229
345	2734	221
346	2741	213
347	2748	205
348	2755	197
349	2764	189
350	2771	181
351	2779	173
352	2788	165
353	2796	157
354	2804	150
355	2814	142
356	2822	134
357	2831	126
358	2839	118
359	2846	110
360	2854	102
361	2863	94
362	2871	87
363	2880	79
364	2887	71
365	2895	63
366	2903	55
367	2911	47
368	2919	39
369	2926	31
370	2933	23
371	2941	15
372	2948	7
373	2957	0
